split,template,acc_mean,acc_std,bacc_mean,bacc_std,auc_mean,auc_std,chance
normal,raw,0.861,0.0227,0.861,0.0227,0.9423,0.0165,0.5
normal,natural,0.87,0.017,0.87,0.017,0.9423,0.0122,0.5
normal,conjoined,0.863,0.0248,0.863,0.0248,0.94,0.0166,0.5
normal,eq1_only,0.885,0.0221,0.885,0.0221,0.9545,0.0138,0.5
normal,eq2_only,0.534,0.0244,0.534,0.0244,0.5378,0.0212,0.5
normal,formal_query,0.877,0.0268,0.877,0.0268,0.9513,0.0124,0.5
normal,countermodel,0.866,0.0218,0.866,0.0218,0.9424,0.0183,0.5
normal,countermodel2,0.859,0.0208,0.859,0.0208,0.9437,0.0173,0.5
normal,separate,0.872,0.0229,0.872,0.0229,0.9527,0.0128,0.5
hard,raw,0.98,0.0187,0.9813,0.0195,0.9819,0.0161,0.63
hard,natural,0.995,0.01,0.996,0.008,0.9925,0.0149,0.63
hard,conjoined,0.985,0.02,0.9853,0.0208,0.9925,0.0136,0.63
hard,eq1_only,0.975,0.0224,0.9747,0.0254,0.9856,0.0217,0.63
hard,eq2_only,0.955,0.0245,0.956,0.0237,0.9899,0.0117,0.63
hard,formal_query,0.975,0.0158,0.9773,0.0172,0.9909,0.0087,0.63
hard,countermodel,0.98,0.01,0.9813,0.0107,0.984,0.0136,0.63
hard,countermodel2,0.98,0.01,0.9813,0.0107,0.9851,0.012,0.63
hard,separate,0.975,0.0158,0.98,0.0126,0.9984,0.0032,0.63
hard1,raw,0.767,0.0867,0.7372,0.0876,0.7656,0.1131,0.6522
hard1,natural,0.7385,0.0394,0.715,0.0491,0.7856,0.0943,0.6522
hard1,conjoined,0.767,0.0867,0.7372,0.0876,0.8067,0.1065,0.6522
hard1,eq1_only,0.6648,0.0825,0.6317,0.096,0.6822,0.0931,0.6522
hard1,eq2_only,0.7538,0.0718,0.7261,0.0723,0.8206,0.1074,0.6522
hard1,formal_query,0.6813,0.0716,0.6211,0.0933,0.8178,0.086,0.6522
hard1,countermodel,0.7242,0.0845,0.695,0.0758,0.8078,0.1072,0.6522
hard1,countermodel2,0.7231,0.0626,0.695,0.043,0.7544,0.0823,0.6522
hard1,separate,0.678,0.1869,0.6478,0.1858,0.7722,0.1183,0.6522
hard2,raw,0.84,0.0464,0.84,0.0464,0.9225,0.0418,0.5
hard2,natural,0.84,0.0583,0.84,0.0583,0.934,0.0316,0.5
hard2,conjoined,0.84,0.0515,0.84,0.0515,0.919,0.0438,0.5
hard2,eq1_only,0.9,0.0524,0.9,0.0524,0.9695,0.0219,0.5
hard2,eq2_only,0.605,0.0292,0.605,0.0292,0.638,0.0474,0.5
hard2,formal_query,0.835,0.0339,0.835,0.0339,0.938,0.0279,0.5
hard2,countermodel,0.85,0.0592,0.85,0.0592,0.9095,0.057,0.5
hard2,countermodel2,0.84,0.0436,0.84,0.0436,0.9235,0.0381,0.5
hard2,separate,0.88,0.04,0.88,0.04,0.959,0.0259,0.5
