split,template,n_true,n_false,centroid_cosine_sim,intra_true_sim,intra_false_sim,inter_class_sim,cohens_d_pc1
normal,raw,500,500,0.993268,0.943038,0.94087,0.935727,0.596169
normal,natural,500,500,0.994288,0.948246,0.945085,0.941362,0.572624
normal,conjoined,500,500,0.993568,0.942309,0.937409,0.93393,0.555855
normal,eq1_only,500,500,0.971989,0.910185,0.906597,0.883122,1.061512
normal,eq2_only,500,500,0.99893,0.897565,0.89721,0.896632,-0.15017
normal,formal_query,500,500,0.996456,0.965645,0.963802,0.961375,0.605747
normal,countermodel,500,500,0.99676,0.95772,0.953665,0.952683,0.48315
normal,countermodel2,500,500,0.996679,0.962965,0.961174,0.95895,0.572132
normal,separate,500,500,0.966267,0.829946,0.824355,0.800519,0.830295
hard,raw,74,126,0.989266,0.937044,0.94701,0.932619,0.735354
hard,natural,74,126,0.989226,0.939684,0.950642,0.935965,0.763434
hard,conjoined,74,126,0.988243,0.933214,0.942509,0.92762,0.744978
hard,eq1_only,74,126,0.989462,0.911145,0.932318,0.912043,-0.529271
hard,eq2_only,74,126,0.987376,0.888549,0.909039,0.888899,0.355339
hard,formal_query,74,126,0.994517,0.961247,0.967507,0.959612,0.768617
hard,countermodel,74,126,0.992465,0.949692,0.959098,0.949194,0.735459
hard,countermodel2,74,126,0.994292,0.959122,0.964159,0.957295,0.722343
hard,separate,74,126,0.981381,0.821102,0.868457,0.831718,-0.024722
hard1,raw,24,45,0.992626,0.93358,0.944428,0.932492,0.532818
hard1,natural,24,45,0.992788,0.936509,0.946921,0.934949,0.562433
hard1,conjoined,24,45,0.991949,0.928894,0.939658,0.932271,0.548046
hard1,eq1_only,24,45,0.990687,0.911235,0.927322,0.914076,0.318123
hard1,eq2_only,24,45,0.988949,0.883837,0.901067,0.887225,0.264239
hard1,formal_query,24,45,0.996248,0.959756,0.965872,0.96056,0.559411
hard1,countermodel,24,45,0.995165,0.947832,0.955766,0.950076,0.521469
hard1,countermodel2,24,45,0.996319,0.957043,0.961989,0.956279,0.511307
hard1,separate,24,45,0.981605,0.81918,0.856104,0.826034,0.01034
hard2,raw,100,100,0.994885,0.941863,0.940795,0.937097,0.22248
hard2,natural,100,100,0.994312,0.948327,0.939791,0.939236,0.148024
hard2,conjoined,100,100,0.993755,0.940211,0.932576,0.93117,0.169428
hard2,eq1_only,100,100,0.983857,0.924874,0.899755,0.898367,0.223232
hard2,eq2_only,100,100,0.99191,0.903571,0.906857,0.89883,-0.124938
hard2,formal_query,100,100,0.997426,0.969283,0.964416,0.964688,0.071352
hard2,countermodel,100,100,0.996387,0.954519,0.953564,0.951053,0.226897
hard2,countermodel2,100,100,0.997796,0.964675,0.962864,0.962007,0.176827
hard2,separate,100,100,0.975582,0.842777,0.834368,0.820173,0.346466
