train_template,test_template,same_template,acc,bacc
raw,raw,True,1.0,1.0
raw,natural,False,0.895,0.9083
raw,conjoined,False,0.56,0.6508
raw,eq1_only,False,0.425,0.5437
raw,eq2_only,False,0.42,0.5397
raw,formal_query,False,0.645,0.5203
raw,countermodel,False,0.725,0.6284
raw,countermodel2,False,0.855,0.8654
raw,separate,False,,
natural,raw,False,0.71,0.7698
natural,natural,True,1.0,1.0
natural,conjoined,False,0.37,0.5
natural,eq1_only,False,0.37,0.5
natural,eq2_only,False,0.38,0.5079
natural,formal_query,False,0.77,0.7282
natural,countermodel,False,0.63,0.5
natural,countermodel2,False,0.65,0.527
natural,separate,False,,
conjoined,raw,False,0.68,0.5676
conjoined,natural,False,0.77,0.6892
conjoined,conjoined,True,1.0,1.0
conjoined,eq1_only,False,0.43,0.5365
conjoined,eq2_only,False,0.47,0.5626
conjoined,formal_query,False,0.63,0.5
conjoined,countermodel,False,0.63,0.5
conjoined,countermodel2,False,0.775,0.6959
conjoined,separate,False,,
eq1_only,raw,False,0.745,0.6917
eq1_only,natural,False,0.735,0.653
eq1_only,conjoined,False,0.67,0.5568
eq1_only,eq1_only,True,1.0,1.0
eq1_only,eq2_only,False,0.61,0.5455
eq1_only,formal_query,False,0.63,0.5
eq1_only,countermodel,False,0.62,0.6203
eq1_only,countermodel2,False,0.64,0.5247
eq1_only,separate,False,,
eq2_only,raw,False,0.735,0.6475
eq2_only,natural,False,0.72,0.6467
eq2_only,conjoined,False,0.59,0.6328
eq2_only,eq1_only,False,0.575,0.4926
eq2_only,eq2_only,True,0.98,0.9841
eq2_only,formal_query,False,0.63,0.5
eq2_only,countermodel,False,0.735,0.6419
eq2_only,countermodel2,False,0.39,0.5159
eq2_only,separate,False,,
formal_query,raw,False,0.565,0.6548
formal_query,natural,False,0.405,0.5278
formal_query,conjoined,False,0.37,0.5
formal_query,eq1_only,False,0.37,0.5
formal_query,eq2_only,False,0.37,0.5
formal_query,formal_query,True,1.0,1.0
formal_query,countermodel,False,0.63,0.5
formal_query,countermodel2,False,0.75,0.7737
formal_query,separate,False,,
countermodel,raw,False,0.715,0.7515
countermodel,natural,False,0.41,0.5317
countermodel,conjoined,False,0.39,0.5159
countermodel,eq1_only,False,0.435,0.5432
countermodel,eq2_only,False,0.46,0.5463
countermodel,formal_query,False,0.63,0.5
countermodel,countermodel,True,1.0,1.0
countermodel,countermodel2,False,0.51,0.5888
countermodel,separate,False,,
countermodel2,raw,False,0.37,0.5
countermodel2,natural,False,0.37,0.5
countermodel2,conjoined,False,0.37,0.5
countermodel2,eq1_only,False,0.37,0.5
countermodel2,eq2_only,False,0.37,0.5
countermodel2,formal_query,False,0.63,0.5
countermodel2,countermodel,False,0.63,0.5
countermodel2,countermodel2,True,1.0,1.0
countermodel2,separate,False,,
separate,raw,False,,
separate,natural,False,,
separate,conjoined,False,,
separate,eq1_only,False,,
separate,eq2_only,False,,
separate,formal_query,False,,
separate,countermodel,False,,
separate,countermodel2,False,,
separate,separate,True,1.0,1.0
