train_template,test_template,same_template,acc,bacc
raw,raw,True,1.0,1.0
raw,natural,False,0.85,0.85
raw,conjoined,False,0.88,0.88
raw,eq1_only,False,0.775,0.775
raw,eq2_only,False,0.505,0.505
raw,formal_query,False,0.775,0.775
raw,countermodel,False,0.615,0.615
raw,countermodel2,False,0.5,0.5
raw,separate,False,,
natural,raw,False,0.62,0.62
natural,natural,True,0.99,0.99
natural,conjoined,False,0.56,0.56
natural,eq1_only,False,0.78,0.78
natural,eq2_only,False,0.44,0.44
natural,formal_query,False,0.595,0.595
natural,countermodel,False,0.52,0.52
natural,countermodel2,False,0.675,0.675
natural,separate,False,,
conjoined,raw,False,0.7,0.7
conjoined,natural,False,0.71,0.71
conjoined,conjoined,True,1.0,1.0
conjoined,eq1_only,False,0.51,0.51
conjoined,eq2_only,False,0.5,0.5
conjoined,formal_query,False,0.5,0.5
conjoined,countermodel,False,0.5,0.5
conjoined,countermodel2,False,0.515,0.515
conjoined,separate,False,,
eq1_only,raw,False,0.51,0.51
eq1_only,natural,False,0.5,0.5
eq1_only,conjoined,False,0.71,0.71
eq1_only,eq1_only,True,0.995,0.995
eq1_only,eq2_only,False,0.555,0.555
eq1_only,formal_query,False,0.51,0.51
eq1_only,countermodel,False,0.64,0.64
eq1_only,countermodel2,False,0.61,0.61
eq1_only,separate,False,,
eq2_only,raw,False,0.515,0.515
eq2_only,natural,False,0.5,0.5
eq2_only,conjoined,False,0.5,0.5
eq2_only,eq1_only,False,0.615,0.615
eq2_only,eq2_only,True,0.895,0.895
eq2_only,formal_query,False,0.5,0.5
eq2_only,countermodel,False,0.5,0.5
eq2_only,countermodel2,False,0.5,0.5
eq2_only,separate,False,,
formal_query,raw,False,0.5,0.5
formal_query,natural,False,0.675,0.675
formal_query,conjoined,False,0.5,0.5
formal_query,eq1_only,False,0.5,0.5
formal_query,eq2_only,False,0.5,0.5
formal_query,formal_query,True,0.99,0.99
formal_query,countermodel,False,0.53,0.53
formal_query,countermodel2,False,0.56,0.56
formal_query,separate,False,,
countermodel,raw,False,0.64,0.64
countermodel,natural,False,0.55,0.55
countermodel,conjoined,False,0.535,0.535
countermodel,eq1_only,False,0.595,0.595
countermodel,eq2_only,False,0.5,0.5
countermodel,formal_query,False,0.63,0.63
countermodel,countermodel,True,0.98,0.98
countermodel,countermodel2,False,0.5,0.5
countermodel,separate,False,,
countermodel2,raw,False,0.515,0.515
countermodel2,natural,False,0.505,0.505
countermodel2,conjoined,False,0.5,0.5
countermodel2,eq1_only,False,0.5,0.5
countermodel2,eq2_only,False,0.5,0.5
countermodel2,formal_query,False,0.5,0.5
countermodel2,countermodel,False,0.51,0.51
countermodel2,countermodel2,True,0.99,0.99
countermodel2,separate,False,,
separate,raw,False,,
separate,natural,False,,
separate,conjoined,False,,
separate,eq1_only,False,,
separate,eq2_only,False,,
separate,formal_query,False,,
separate,countermodel,False,,
separate,countermodel2,False,,
separate,separate,True,1.0,1.0
