train_template,test_template,same_template,acc,bacc
raw,raw,True,0.944,0.944
raw,natural,False,0.655,0.655
raw,conjoined,False,0.83,0.83
raw,eq1_only,False,0.63,0.63
raw,eq2_only,False,0.47,0.47
raw,formal_query,False,0.5,0.5
raw,countermodel,False,0.554,0.554
raw,countermodel2,False,0.5,0.5
raw,separate,False,,
natural,raw,False,0.639,0.639
natural,natural,True,0.943,0.943
natural,conjoined,False,0.531,0.531
natural,eq1_only,False,0.506,0.506
natural,eq2_only,False,0.502,0.502
natural,formal_query,False,0.507,0.507
natural,countermodel,False,0.509,0.509
natural,countermodel2,False,0.529,0.529
natural,separate,False,,
conjoined,raw,False,0.541,0.541
conjoined,natural,False,0.518,0.518
conjoined,conjoined,True,0.935,0.935
conjoined,eq1_only,False,0.55,0.55
conjoined,eq2_only,False,0.482,0.482
conjoined,formal_query,False,0.5,0.5
conjoined,countermodel,False,0.5,0.5
conjoined,countermodel2,False,0.63,0.63
conjoined,separate,False,,
eq1_only,raw,False,0.525,0.525
eq1_only,natural,False,0.5,0.5
eq1_only,conjoined,False,0.648,0.648
eq1_only,eq1_only,True,0.939,0.939
eq1_only,eq2_only,False,0.451,0.451
eq1_only,formal_query,False,0.5,0.5
eq1_only,countermodel,False,0.5,0.5
eq1_only,countermodel2,False,0.5,0.5
eq1_only,separate,False,,
eq2_only,raw,False,0.49,0.49
eq2_only,natural,False,0.425,0.425
eq2_only,conjoined,False,0.483,0.483
eq2_only,eq1_only,False,0.406,0.406
eq2_only,eq2_only,True,0.728,0.728
eq2_only,formal_query,False,0.5,0.5
eq2_only,countermodel,False,0.5,0.5
eq2_only,countermodel2,False,0.481,0.481
eq2_only,separate,False,,
formal_query,raw,False,0.507,0.507
formal_query,natural,False,0.738,0.738
formal_query,conjoined,False,0.5,0.5
formal_query,eq1_only,False,0.5,0.5
formal_query,eq2_only,False,0.503,0.503
formal_query,formal_query,True,0.944,0.944
formal_query,countermodel,False,0.5,0.5
formal_query,countermodel2,False,0.5,0.5
formal_query,separate,False,,
countermodel,raw,False,0.5,0.5
countermodel,natural,False,0.5,0.5
countermodel,conjoined,False,0.5,0.5
countermodel,eq1_only,False,0.5,0.5
countermodel,eq2_only,False,0.5,0.5
countermodel,formal_query,False,0.5,0.5
countermodel,countermodel,True,0.942,0.942
countermodel,countermodel2,False,0.5,0.5
countermodel,separate,False,,
countermodel2,raw,False,0.678,0.678
countermodel2,natural,False,0.606,0.606
countermodel2,conjoined,False,0.543,0.543
countermodel2,eq1_only,False,0.655,0.655
countermodel2,eq2_only,False,0.463,0.463
countermodel2,formal_query,False,0.625,0.625
countermodel2,countermodel,False,0.5,0.5
countermodel2,countermodel2,True,0.945,0.945
countermodel2,separate,False,,
separate,raw,False,,
separate,natural,False,,
separate,conjoined,False,,
separate,eq1_only,False,,
separate,eq2_only,False,,
separate,formal_query,False,,
separate,countermodel,False,,
separate,countermodel2,False,,
separate,separate,True,1.0,1.0
